"ID","Year","State","Population","IMR","IMR_Hispanic","IMR_White","IMR_Black","IMR_Native","IMR_Asian","IMR_20","IMR_20_29","IMR_30_39","IMR_40","Expenditure","Expenditure_edu","Expenditure_edu_education","Expenditure_edu_libraries","Expenditure_social","Expenditure_social_health","Expenditure_social_hospitals","Expenditure_social_insurance","Expenditure_social_veterans","Expenditure_social_welfare","Expenditure_env","Expenditure_env_housing","Expenditure_env_parks","Expenditure_env_resources","Expenditure_env_sewerage","Expenditure_env_waste","President","Governor","Legislature","Gini","Poverty"
88,2001,"OR",3421399,5.4,5.1,5.6,10.4,7.4,3.7,8.1,5.6,4.7,5.2,,,,,,,,,,,,,,,,,"R","D","R",0.444,9.2
89,2001,"PA",12281054,7.2,8.6,5.9,14.4,7.4,3.8,12,7.5,5.7,9.7,,,,,,,,,,,,,,,,,"R","R","R",0.455,8.2
90,2001,"RI",1048319,6.8,8,5.3,12.6,,7.5,11,5.5,6.7,12.3,,,,,,,,,,,,,,,,,"R","R","D",0.442,7.8
91,2001,"SC",4012012,9,4.6,6,14.9,10.5,6.2,12.1,9,7.4,12,,,,,,,,,,,,,,,,,"R","D","S",0.462,11.9
92,2001,"SD",754844,7.3,7.5,5.4,,11.9,,7.2,6.7,5.7,,,,,,,,,,,,,,,,,,"R","R","R",0.439,8.4
93,2001,"TN",5689283,8.7,6.2,7,17,,4.8,11.6,8.9,7.8,12.5,,,,,,,,,,,,,,,,,"R","R","D",0.468,12.4
94,2001,"TX",20851820,5.9,5.1,5.5,11.1,6.3,3.9,8.4,5.7,5.1,7.7,,,,,,,,,,,,,,,,,"R","R","R",0.474,13.3
95,2001,"UT",2233169,4.9,6.5,5,5.4,4.4,8.1,6.8,5.2,4.8,7.3,,,,,,,,,,,,,,,,,"R","R","R",0.41,7.8
96,2001,"VT",608827,5.7,,5.5,,,,8.8,6.3,3.6,8.9,,,,,,,,,,,,,,,,,"R","D","S",0.42,6.7
97,2001,"VA",7078515,7.4,4.8,5.5,13.6,,4.6,10.3,7.8,5.7,8.6,,,,,,,,,,,,,,,,,"R","R","R",0.456,6.8
98,2001,"WA",5894121,5.7,5.1,5.2,9.5,10.5,4.8,8.6,5.4,4.8,6.8,,,,,,,,,,,,,,,,,"R","D","S",0.443,8
99,2001,"WV",1808344,7.3,,7.7,11.7,,,11.1,7.7,6.9,,,,,,,,,,,,,,,,,,"R","D","D",0.447,12.7
100,2001,"WI",5363675,7.1,6.2,5.6,17.9,11.2,5.2,11.5,7,5.5,6.5,,,,,,,,,,,,,,,,,"R","R","S",0.424,7.3
101,2001,"WY",493782,6.1,8,6.3,,9,,11,6.4,4.3,,,,,,,,,,,,,,,,,,"R","R","R",0.413,6.3
102,2001,"DC",572059,10.8,7.5,3.3,15.3,,,13.9,11.5,10.6,9.8,,,,,,,,,,,,,,,,,"R",,,0.537,16.3
103,2002,"AL",4447100,9.1,7,6.7,14.1,,7.8,12.8,8.7,7.8,8.8,28530974,8388461,8320322,68139,8345559,982547,3099637,82713,18709,4161953,1602199,404362,340479,234341,611983,11034,"R","R","D",0.472,12.6
104,2002,"AK",626932,5.6,4.1,5.1,,9.3,6.9,8.8,6.2,7.2,5.8,9397434,2130237,2106699,23538,1359180,166727,96212,32910,28394,1034937,573254,174734,99810,241177,53281,4252,"R","D","R",0.417,8.2
105,2002,"AZ",5130632,6.4,6.2,6.1,13.8,9.6,6.2,7.7,6.5,6.2,9.3,31862626,8933983,8796455,137528,5451994,1063039,469395,55956,16092,3847512,1933815,300456,643439,413174,546720,30026,"R","R","R",0.454,10.1
106,2002,"AR",2673400,8.4,5.3,7.6,13.1,,6.5,11.8,8,7,13.5,14599361,4839329,4783305,56024,3555457,289169,626078,43129,4307,2592774,750738,157986,162798,225275,189671,15008,"R","R","D",0.46,13.1
107,2002,"CA",33871648,5.4,5.1,4.7,11.1,7.5,4.3,7.3,5.1,4.9,7.3,293328276,77853853,76827021,1026832,56922160,9813693,11147510,375971,25744,35559242,18073289,5381446,4172705,4425398,3963614,130126,"R","D","D",0.466,9.7
108,2002,"CO",4301261,6,6.3,5.2,14.2,10.4,6.6,9.3,6.3,4.6,5.4,32392555,9173457,9011024,162433,5018970,959754,1188175,47909,0,2823132,2164938,444818,974753,222651,511789,10927,"R","R","R",0.45,8.4
109,2002,"CT",3405565,6.5,6.3,4.6,13.6,,3.1,10.1,6.6,4.9,5.9,27591660,7987875,7852255,135620,5465203,523784,1379290,90294,0,3471835,1216590,440361,301239,193687,268341,12962,"R","R","D",0.48,5.9
110,2002,"DE",783600,8.6,6.9,7.6,16.4,,,12,9.1,8.9,16,5945576,1958772,1936589,22183,1041597,258337,68578,12078,377,702227,370962,104273,76157,76316,103922,10294,"R","D","S",0.434,7.6
111,2002,"FL",15982378,7.5,5.3,5.9,13.3,7.9,5.1,11.5,7.3,6,10.6,99291052,26186099,25795182,390917,20125415,3184348,4286110,129579,25331,12500047,7293099,1179014,1836837,2401664,1714078,161506,"R","R","R",0.467,9
112,2002,"GA",8186453,9,6.4,6.3,13.5,6.9,6,12.4,8.4,7.3,12,53610112,17480935,17365657,115278,12443191,1333214,3498875,141365,10392,7459345,3162847,740049,746364,516270,1080824,79340,"R","D","S",0.461,11.1
113,2002,"HI",1211537,7.4,6.8,5.3,11.3,,7.4,11.4,6.6,6.4,8.6,9402041,2286717,2257427,29290,1839741,466935,184789,45164,1555,1141298,762749,220877,260403,106517,167966,6986,"R","D","D",0.438,7.1
114,2002,"ID",1293953,6.1,7,6,,6.8,6.4,7.8,5.9,5.9,12.7,7564676,2451386,2422610,28776,1677360,159685,445773,36964,0,1034938,503192,30690,108974,199817,154299,9412,"R","R","R",0.421,9.3
115,2002,"IL",12419293,7.4,5.9,5.9,15.5,,5.4,11.5,7.5,6.6,7.3,87401299,26514796,25952978,561818,15336718,2989614,2209318,258868,17908,9861010,6480870,1787920,2523951,644281,1479700,45018,"R","R","D",0.462,9.1
116,2002,"IN",6080485,7.8,6.4,7,13.8,,4.1,10.2,7.6,6.6,12.3,36270677,12504428,12192513,311915,8325531,675081,2201067,134924,1928,5312531,2301069,589477,471274,357152,865975,17191,"R","D","S",0.432,9
117,2002,"IA",2926324,5.3,6.5,5.3,12.3,,4.2,8.5,5.3,5,9.4,19293784,6564568,6467435,97133,4670411,433367,1452361,102433,0,2682250,1033213,151214,295540,275207,299147,12105,"R","D","R",0.424,7.3
118,2002,"KS",2688418,7.2,7.3,6.3,15.8,8.4,4.5,10.7,6.9,6,8.2,16715030,5576548,5501024,75524,3276380,606145,624755,38819,3694,2002967,759071,138339,195616,227521,189589,8006,"R","R","R",0.441,8.6
119,2002,"KY",4041769,7.2,4.9,6.3,10.1,,5.2,9.7,6.6,4.9,10.6,24795341,6927145,6834028,93117,6312304,728385,717087,50428,0,4816404,1211164,177744,259348,304669,440576,28827,"R","D","S",0.46,13.1
120,2002,"LA",4468976,10.3,4.5,7,13.9,9.9,9.2,11.8,9.8,8.6,9,27341667,8107708,7994460,113248,6768501,555215,3066062,95858,14890,3036476,1569969,369498,410375,421392,349398,19306,"R","R","D",0.475,14.4
121,2002,"ME",1274923,4.3,,5.1,14.6,,,8,5,4.4,9.7,8677113,2516514,2491164,25350,2316926,383724,116256,25018,228,1791700,454827,129589,55917,147633,116819,4869,"R","I","D",0.428,8.7
122,2002,"MD",5296486,7.6,6,5.4,13.2,,4.2,11.8,8,7,9.4,35726827,12476252,12289004,187248,6275796,1089312,400821,46767,1893,4737003,2469683,754354,695591,520858,485260,13620,"R","D","D",0.433,5.3
